ID,Level1 Name,Level1 Area,Level2 Name,Level2 Area,Level3 Name,Level3 Area,Level4 Name,Level4 Area,Level5 Name,Level5 Area
60,Cai,4250.2,,,,,,,,
61,California Peoples,178834.7,,,,,,,,
62,Cao,2227.6,,,,,,,,
63,Caribbean Peoples,1043772.4,,,,,,,,
64,Carthage,113675.1,,,,,,,,
65,Carthage,113675.1,'BN,188.9,,,,,,
66,Carthage,113675.1,(Iol),159.5,,,,,,
67,Carthage,113675.1,(Saldae),194.7,,,,,,
68,Carthage,113675.1,Abdera,1310.0,,,,,,
69,Carthage,113675.1,BLS,90.0,,,,,,
70,Carthage,113675.1,Carteia,375.4,,,,,,
71,Carthage,113675.1,Gadir,15.6,,,,,,
72,Carthage,113675.1,Gaulos,63.4,,,,,,
73,Carthage,113675.1,Ibossim,573.1,,,,,,
74,Carthage,113675.1,Kapara,123.3,,,,,,
75,Carthage,113675.1,Lixus,495.4,,,,,,
76,Carthage,113675.1,Malake,1068.8,,,,,,
77,Carthage,113675.1,Maleth,248.0,,,,,,
78,Carthage,113675.1,Motya,171.4,,,,,,
79,Carthage,113675.1,QRTTN,193.0,,,,,,
80,Carthage,113675.1,Quiza,226.4,,,,,,
81,Carthage,113675.1,Rusadir,324.3,,,,,,
82,Carthage,113675.1,Rusucurru,150.9,,,,,,
83,Carthage,113675.1,Sardinia,23981.0,,,,,,
84,Carthage,113675.1,Tingi,418.3,,,,,,
85,Carthage,113675.1,Tipasa,184.0,,,,,,
86,Carthage,113675.1,YGLG,156.5,,,,,,
87,Carthage,113675.1,YKSM,177.6,,,,,,
88,Carthage,113675.1,YMN,167.4,,,,,,
89,Carthage,113675.1,Ziz,238.1,,,,,,
90,Carthaginian Ally,144.3,,,,,,,,
91,Carthaginian Ally,144.3,Selinus,144.3,,,,,,
92,Cedi,60208.9,,,,,,,,
93,Celto-Ligurians,755646.2,,,,,,,,
94,Celts,580829.2,,,,,,,,
95,Celts,580829.2,Insubres,0.0,,,,,,
96,Central African Peoples,1648345.6,,,,,,,,
97,Chadian People,225056.3,,,,,,,,
98,Chaonians,6359.4,,,,,,,,
99,Chavin Culture,96153.2,,,,,,,,
100,Chen,7676.8,,,,,,,,
101,Cheng,284.3,,,,,,,,
102,Chinchorro Culture,87520.8,,,,,,,,
103,Chorrera Culture,14276.7,,,,,,,,
104,Chu,402271.4,,,,,,,,
105,Chu,402271.4,Sui,2306.7,,,,,,
106,Corinthia,3031.5,,,,,,,,
107,Corinthia,3031.5,Ambracia,169.1,,,,,,
108,Corinthia,3031.5,Anactorium,163.5,,,,,,
109,Corinthia,3031.5,Apollonia (Illyria),281.1,,,,,,
110,Corinthia,3031.5,Corcyra,596.2,,,,,,
111,Corinthia,3031.5,Epidamnos,101.9,,,,,,
112,Corinthia,3031.5,Korkyra Melaina,60.8,,,,,,
113,Corinthia,3031.5,Leucas,303.8,,,,,,
114,Corinthia,3031.5,Makyneia,117.4,,,,,,
115,Cretan City States,8381.5,,,,,,,,
116,Cretan City States,8381.5,Allaria,155.4,,,,,,
117,Cretan City States,8381.5,Anopolis,107.6,,,,,,
118,Cretan City States,8381.5,Apollonia (N),56.8,,,,,,
119,Cretan City States,8381.5,Apollonia (S),75.5,,,,,,
120,Cretan City States,8381.5,Aptera,210.5,,,,,,
121,Cretan City States,8381.5,Araden,87.8,,,,,,
122,Cretan City States,8381.5,Arkades,81.1,,,,,,
123,Cretan City States,8381.5,Askyfou,122.6,,,,,,
124,Cretan City States,8381.5,Aulon,67.7,,,,,,
125,Cretan City States,8381.5,Axos,232.5,,,,,,
126,Cretan City States,8381.5,Biannos,127.1,,,,,,
127,Cretan City States,8381.5,Biennos,95.4,,,,,,
128,Cretan City States,8381.5,Bionnos,37.5,,,,,,
129,Cretan City States,8381.5,Cretan City States,115.2,,,,,,
130,Cretan City States,8381.5,Cretan City States,115.2,Pyranthos,115.2,,,,
131,Cretan City States,8381.5,Dreros,78.7,,,,,,
132,Cretan City States,8381.5,Eleutherna,134.4,,,,,,
133,Cretan City States,8381.5,Eltynia,86.6,,,,,,
134,Cretan City States,8381.5,Erranos,68.0,,,,,,
135,Cretan City States,8381.5,Etis,33.3,,,,,,
136,Cretan City States,8381.5,Gortyna,621.4,,,,,,
137,Cretan City States,8381.5,Gortyna,621.4,Kaudos,30.9,,,,
138,Cretan City States,8381.5,Hierapytna,191.8,,,,,,
139,Cretan City States,8381.5,Hierapytna,191.8,Chrysea,4.9,,,,
140,Cretan City States,8381.5,Inatos,49.3,,,,,,
141,Cretan City States,8381.5,Istron,27.5,,,,,,
142,Cretan City States,8381.5,Itanos,186.1,,,,,,
143,Cretan City States,8381.5,Itanos,186.1,Leuke,3.6,,,,
144,Cretan City States,8381.5,Itanos,186.1,Onysia,1.4,,,,
145,Cretan City States,8381.5,Kantanos,112.2,,,,,,
146,Cretan City States,8381.5,Keraea,148.5,,,,,,
147,Cretan City States,8381.5,Khersonasos,57.2,,,,,,
148,Cretan City States,8381.5,Khersonesos,13.2,,,,,,
149,Cretan City States,8381.5,Knossos,328.7,,,,,,
150,Cretan City States,8381.5,Knossos,328.7,Dia,11.7,,,,
151,Cretan City States,8381.5,Kydonia,479.2,,,,,,
152,Cretan City States,8381.5,Kydonia,479.2,Koite/Akytos,0.9,,,,
153,Cretan City States,8381.5,Lappa,315.4,,,,,,
154,Cretan City States,8381.5,Lato,193.4,,,,,,
155,Cretan City States,8381.5,Lykastos,90.4,,,,,,
156,Cretan City States,8381.5,Lyktos,371.4,,,,,,
157,Cretan City States,8381.5,Malla,154.7,,,,,,
158,Cretan City States,8381.5,Milatos,84.0,,,,,,
159,Cretan City States,8381.5,Oleros,31.9,,,,,,
160,Cretan City States,8381.5,Olous,77.3,,,,,,
161,Cretan City States,8381.5,Oreioi,386.0,,,,,,
162,Cretan City States,8381.5,Pergamos,110.1,,,,,,
163,Cretan City States,8381.5,Petra,83.8,,,,,,
164,Cretan City States,8381.5,Phaistos,283.6,,,,,,
165,Cretan City States,8381.5,Phaistos,283.6,Letoa,1.1,,,,
166,Cretan City States,8381.5,Phalasarna,90.3,,,,,,
167,Cretan City States,8381.5,Phalasarna,90.3,Aigila/Ogylos,21.2,,,,
168,Cretan City States,8381.5,Polichae,75.9,,,,,,
169,Cretan City States,8381.5,Polichna,39.9,,,,,,
170,Cretan City States,8381.5,Polyrrhenia,132.6,,,,,,
171,Cretan City States,8381.5,Praisos,431.1,,,,,,
172,Cretan City States,8381.5,Priansos,84.1,,,,,,
173,Cretan City States,8381.5,Psykheion,62.3,,,,,,
174,Cretan City States,8381.5,Raukos,129.2,,,,,,
175,Cretan City States,8381.5,Rhamnous,99.2,,,,,,
176,Cretan City States,8381.5,Rhithymna,248.3,,,,,,
177,Cretan City States,8381.5,Rhytion,118.0,,,,,,
178,Cretan City States,8381.5,Sisaia,42.8,,,,,,
179,Cretan City States,8381.5,Stalai,27.9,,,,,,
180,Cretan City States,8381.5,Sybrita,300.7,,,,,,
181,Cretan City States,8381.5,Tylisos,151.3,,,,,,
182,Croton,184.5,,,,,,,,
183,Cushitic People,961933.2,,,,,,,,
184,D'mt,103341.6,,,,,,,,
185,Dai,18113.0,,,,,,,,
186,Dali,12998.2,,,,,,,,
187,Daradas,20384.3,,,,,,,,
188,Dasarnas,18072.0,,,,,,,,
189,Dassaretis,6756.3,,,,,,,,
190,Daunians,0.0,,,,,,,,
191,Desert Cultures,2456948.3,,,,,,,,
192,Di,7379.5,,,,,,,,
193,Di(2),33939.0,,,,,,,,
194,Dolopia,1334.3,,,,,,,,
195,Donghu,206403.8,,,,,,,,
196,Dorians,1023.6,,,,,,,,
197,Dorians,1023.6,Anaphe,40.2,,,,,,
198,Dorians,1023.6,Astypalaia,102.1,,,,,,
199,Dorians,1023.6,Ephyra,9.4,,,,,,
200,Dorians,1023.6,Karpathos,308.9,,,,,,
201,Dorians,1023.6,Kasos,67.8,,,,,,
202,Dorians,1023.6,Kimolos,39.2,,,,,,
203,Dorians,1023.6,Lipara,36.3,,,,,,
204,Dorians,1023.6,Melos,172.2,,,,,,
205,Dorians,1023.6,Pholegandros,34.8,,,,,,
206,Dorians,1023.6,Polyaigos,18.3,,,,,,
207,Dorians,1023.6,Saros,22.5,,,,,,
208,Dorians,1023.6,Sikinos,42.9,,,,,,
209,Dorians,1023.6,Syrnos,8.1,,,,,,
210,Dorians,1023.6,Thera,80.4,,,,,,
211,Dorians,1023.6,Therasia,10.2,,,,,,
212,Doris,179.0,,,,,,,,
213,Dravidians,1377951.0,,,,,,,,
214,Duchy of Jin,211971.5,,,,,,,,
215,Dun,695.2,,,,,,,,
216,Dvaraka,9356.5,,,,,,,,
217,East African Peoples,0.0,,,,,,,,
218,Eastern Woodland Peoples,4191760.5,,,,,,,,
219,Elimiotis,1482.6,,,,,,,,
220,Elis,3124.0,,,,,,,,
221,Elis,3124.0,Bouchetion,169.1,,,,,,
222,Elis,3124.0,Elateia,169.1,,,,,,
223,Elis,3124.0,Pandosia,168.8,,,,,,
224,Eordaia,1610.4,,,,,,,,
225,Epicnemidian Locris,379.1,,,,,,,,
226,Epicnemidian Locris,379.1,Thronion,102.3,,,,,,
227,Eretria,1335.4,,,,,,,,
228,Etruria,62785.5,,,,,,,,
229,Etruria,62785.5,Aritim,1388.3,,,,,,
230,Etruria,62785.5,Caisra,1318.1,,,,,,
231,Etruria,62785.5,Capeva,292.4,,,,,,
232,Etruria,62785.5,Clevsin,1024.1,,,,,,
233,Etruria,62785.5,Corsica,8752.5,,,,,,
234,Etruria,62785.5,Curtun,1036.4,,,,,,
235,Etruria,62785.5,Fulfluna,723.0,,,,,,
236,Etruria,62785.5,Padanian Etruria,30264.5,,,,,,
237,Etruria,62785.5,Pompeii,63.5,,,,,,
238,Etruria,62785.5,Purusna,668.2,,,,,,
239,Etruria,62785.5,Tarchuna,1273.3,,,,,,
240,Etruria,62785.5,V(F)elathri,5098.7,,,,,,
241,Etruria,62785.5,Vatluna,1915.0,,,,,,
242,Etruria,62785.5,Veii,982.1,,,,,,
243,Etruria,62785.5,Velch,2237.5,,,,,,
244,Etruria,62785.5,Velzna,2899.0,,,,,,
245,Finns,1156929.8,,,,,,,,
246,Garamantes,151314.3,,,,,,,,
247,Gela,169.6,,,,,,,,
248,Gojoseon,52632.7,,,,,,,,
249,Guifang,614078.3,,,,,,,,
250,Hu,2763.3,,,,,,,,
251,Iapygii,13992.1,,,,,,,,
252,Iberians,392452.6,,,,,,,,
253,Illyrians,0.0,,,,,,,,
254,Illyrians,0.0,Grabaei,0.0,,,,,,
255,Illyrioi,41104.6,,,,,,,,
256,Indo-Aryans,447992.1,,,,,,,,
257,Ionians,4204.6,,,,,,,,
258,Ionians,4204.6,Amorgos,120.0,,,,,,
259,Ionians,4204.6,Belbina,8.1,,,,,,
260,Ionians,4204.6,Catane,208.6,,,,,,
261,Ionians,4204.6,Donousa,14.9,,,,,,
262,Ionians,4204.6,Elea,179.8,,,,,,
263,Ionians,4204.6,Gyaros,16.7,,,,,,
264,Ionians,4204.6,Helena,19.1,,,,,,
265,Ionians,4204.6,Herakleia,17.0,,,,,,
266,Ionians,4204.6,Himera,188.8,,,,,,
267,Ionians,4204.6,Ios,112.2,,,,,,
268,Ionians,4204.6,KItanos,4.1,,,,,,
269,Ionians,4204.6,Kekryphaleia,0.8,,,,,,
270,Ionians,4204.6,Keos,135.1,,,,,,
271,Ionians,4204.6,Keria,14.9,,,,,,
272,Ionians,4204.6,Kythnos,99.5,,,,,,
273,Ionians,4204.6,Leontini,308.4,,,,,,
274,Ionians,4204.6,Levinthos,11.3,,,,,,
275,Ionians,4204.6,Miletus,526.4,,,,,,
276,Ionians,4204.6,Miletus,526.4,Borysthenes/Olbia,108.4,,,,
277,Ionians,4204.6,Miletus,526.4,Pantikapaion,235.9,,,,
278,Ionians,4204.6,Miletus,526.4,Theodosia,182.1,,,,
279,Ionians,4204.6,Mylae,116.0,,,,,,
280,Ionians,4204.6,Naxos (Sicily),161.5,,,,,,
281,Ionians,4204.6,Nymphaion,118.1,,,,,,
282,Ionians,4204.6,Oliaros,36.9,,,,,,
283,Ionians,4204.6,Paros,195.4,,,,,,
284,Ionians,4204.6,Phanagoria,211.6,,,,,,
285,Ionians,4204.6,Phocaea,531.5,,,,,,
286,Ionians,4204.6,Phocaea,531.5,Agatha,148.7,,,,
287,Ionians,4204.6,Phocaea,531.5,Emporion,191.8,,,,
288,Ionians,4204.6,Phocaea,531.5,Massalia,191.0,,,,
289,Ionians,4204.6,Prepesinthos,6.8,,,,,,
290,Ionians,4204.6,Schinoussa,9.2,,,,,,
291,Ionians,4204.6,Seriphos,76.5,,,,,,
292,Ionians,4204.6,Siphnos,74.3,,,,,,
293,Ionians,4204.6,Syros,83.7,,,,,,
294,Ionians,4204.6,Thasos,381.7,,,,,,
295,Ionians,4204.6,Zancle,185.0,,,,,,
296,Italics,13755.1,,,,,,,,
297,Jomon Culture,209083.1,,,,,,,,
298,Ju,5937.8,,,,,,,,
299,Kaccha,12408.0,,,,,,,,
300,Kalaurian Amphictiony,1165.3,,,,,,,,
301,Kalaurian Amphictiony,1165.3,Aperopia,14.2,,,,,,
302,Kalaurian Amphictiony,1165.3,Aristera,1.8,,,,,,
303,Kalaurian Amphictiony,1165.3,Epidauria,487.2,,,,,,
304,Kalaurian Amphictiony,1165.3,Hermionis,552.9,,,,,,
305,Kalaurian Amphictiony,1165.3,Hydroussa/Hydrea,50.4,,,,,,
306,Kalaurian Amphictiony,1165.3,Kalaureia,24.9,,,,,,
307,Kalaurian Amphictiony,1165.3,Pityonesos,11.9,,,,,,
308,Kalaurian Amphictiony,1165.3,Pityoussa,20.9,,,,,,
309,Kalaurian Amphictiony,1165.3,Trikrana,1.1,,,,,,
310,Kalinga,49742.6,,,,,,,,
311,Karusha,25419.4,,,,,,,,
312,Kasmira,52265.1,,,,,,,,
313,Khoisan Peoples,6744871.7,,,,,,,,
314,Kingdom of Argos,1576.4,,,,,,,,
315,Kingdom of Argos,1576.4,Argolid,1200.3,,,,,,
316,Kingdom of Argos,1576.4,Nauplia,376.2,,,,,,
317,Kingdom of Kush,327314.0,,,,,,,,
318,Kingdom of Kush,327314.0,Upper Nubia,90884.2,,,,,,
319,Kingdom of Sparta,8135.2,,,,,,,,
320,Kingdom of Sparta,8135.2,Cynuria,666.4,,,,,,
321,Kingdom of Sparta,8135.2,Cythera,278.5,,,,,,
322,Kingdom of Sparta,8135.2,Messenia,2245.9,,,,,,
323,Kirati,59810.3,,,,,,,,
324,Koliya,2000.2,,,,,,,,
325,Konkana,3770.0,,,,,,,,
326,Koreans,70117.2,,,,,,,,
327,Kosala,117139.3,,,,,,,,
328,Kosala,117139.3,Kalama,2262.2,,,,,,
329,Kosala,117139.3,Kasi,27052.2,,,,,,
330,Ksudrakas,11064.4,,,,,,,,
331,Kuntala,22201.8,,,,,,,,
332,Kyme,251.5,,,,,,,,
333,Kyme,251.5,Pithecusae,49.0,,,,,,
334,Latin League,1765.3,,,,,,,,
335,Latin League,1765.3,Ardea,192.0,,,,,,
336,Latin League,1765.3,Aricia,58.5,,,,,,
337,Latin League,1765.3,Gabii,57.6,,,,,,
338,Latin League,1765.3,Labicum,46.8,,,,,,
339,Latin League,1765.3,Lanuvium,83.0,,,,,,
340,Latin League,1765.3,Lavinium,111.5,,,,,,
341,Latin League,1765.3,Nomentum,114.8,,,,,,
342,Latin League,1765.3,Pedum,56.2,,,,,,
343,Latin League,1765.3,Praeneste,411.2,,,,,,
344,Latin League,1765.3,Tibur,590.6,,,,,,
345,Latin League,1765.3,Tusculum,43.1,,,,,,
346,Lauhitya,4805.2,,,,,,,,
347,Liburnians,8634.4,,,,,,,,
348,Libyans,0.0,,,,,,,,
349,Libyphoenices,212217.1,,,,,,,,
350,Ligurians,28420.9,,,,,,,,
351,Linhu,64744.3,,,,,,,,
352,Loufan,12763.3,,,,,,,,
353,Lu,26729.8,,,,,,,,
354,Lu,26729.8,Partition of the Three Huan,26729.8,,,,,,
355,Lucani,11728.8,,,,,,,,
356,Lynkestis,2729.1,,,,,,,,
357,Madra,33245.7,,,,,,,,
358,Magadha,38593.6,,,,,,,,
359,Malavas,8889.2,,,,,,,,
360,Malla,13779.8,,,,,,,,
361,Malla,13779.8,Kusinara,9447.8,,,,,,
362,Malla,13779.8,Pava,4332.0,,,,,,
363,Manchurian Peoples,1541524.4,,,,,,,,
364,Manshi,2484.0,,,,,,,,
365,Matsya,60009.6,,,,,,,,
366,Maya,233242.7,,,,,,,,
367,Megaris,899.7,,,,,,,,
368,Megaris,899.7,Megara Hyblaea,200.7,,,,,,
369,Mesoamerican Peoples,1205785.0,,,,,,,,
370,Messapians,478.2,,,,,,,,
371,Messapii,5394.2,,,,,,,,
372,Mianzhu,659.6,,,,,,,,
373,Mixtecs,0.0,,,,,,,,
374,Moriya,2236.5,,,,,,,,
375,Mulaka,3826.3,,,,,,,,
376,Ni,457.1,,,,,,,,
377,Nilotic Peoples,657419.0,,,,,,,,
378,Nok People,199237.9,,,,,,,,
379,North Arabian Semites,846325.7,,,,,,,,
380,Northwest Coast Peoples,680019.6,,,,,,,,
381,Nubians,142988.0,,,,,,,,
382,Numidians,251888.8,,,,,,,,
383,Odra,10200.8,,,,,,,,
384,Oetaea,735.0,,,,,,,,
385,Olmecs,33931.5,,,,,,,,
386,Opuntian Locris,493.5,,,,,,,,
387,Orestis,2846.1,,,,,,,,
388,Ozolian Locris,1752.6,,,,,,,,
389,Ozolian Locris,1752.6,Epizephyrian Locris,180.1,,,,,,
390,Ozolian Locris,1752.6,Hipponion,247.5,,,,,,
391,Ozolian Locris,1752.6,Medma,267.6,,,,,,
392,Paiones,33002.7,,,,,,,,
393,Paleosiberians,7976456.3,,,,,,,,
394,Pampas Cultures,1604855.4,,,,,,,,
395,Panchala,71215.0,,,,,,,,
396,Panchala,71215.0,Dakshina Panchala,32371.6,,,,,,
397,Panchala,71215.0,Sankissa,2185.3,,,,,,
398,Panchala,71215.0,Uttar Panchala,38824.0,,,,,,
399,Papuans,612744.6,,,,,,,,
400,Patagonian Peoples,278397.6,,,,,,,,
401,Pelagonia,1758.2,,,,,,,,
402,Persian Empire,6892867.5,,,,,,,,
403,Persian Empire,6892867.5,Arakhosia,891751.4,,,,,,
404,Persian Empire,6892867.5,Arakhosia,891751.4,Arakhosia,282318.2,,,,
405,Persian Empire,6892867.5,Arakhosia,891751.4,Drangiana,184308.1,,,,
406,Persian Empire,6892867.5,Arakhosia,891751.4,Drangiana,184308.1,Ariaspai,37322.9,,
407,Persian Empire,6892867.5,Arakhosia,891751.4,Drangiana,184308.1,Drangiana,146985.2,,
408,Persian Empire,6892867.5,Arakhosia,891751.4,Gedrosia,425125.1,,,,
409,Persian Empire,6892867.5,Arakhosia,891751.4,Gedrosia,425125.1,Gedrosia,360422.3,,
410,Persian Empire,6892867.5,Arakhosia,891751.4,Gedrosia,425125.1,Oreitai,64702.8,,
411,Persian Empire,6892867.5,Assyria,9272.7,,,,,,
412,Persian Empire,6892867.5,Assyria,9272.7,Cypriot Kingdoms,9272.7,,,,
413,Persian Empire,6892867.5,Assyria,9272.7,Cypriot Kingdoms,9272.7,Amathous,672.8,,
414,Persian Empire,6892867.5,Assyria,9272.7,Cypriot Kingdoms,9272.7,Chyt(h)roi,564.0,,
415,Persian Empire,6892867.5,Assyria,9272.7,Cypriot Kingdoms,9272.7,Idalion,674.5,,
416,Persian Empire,6892867.5,Assyria,9272.7,Cypriot Kingdoms,9272.7,Kition,778.7,,
417,Persian Empire,6892867.5,Assyria,9272.7,Cypriot Kingdoms,9272.7,Kourion,634.6,,
418,Persian Empire,6892867.5,Assyria,9272.7,Cypriot Kingdoms,9272.7,Lapethos,481.6,,
419,Persian Empire,6892867.5,Assyria,9272.7,Cypriot Kingdoms,9272.7,Ledrai,275.8,,
420,Persian Empire,6892867.5,Assyria,9272.7,Cypriot Kingdoms,9272.7,Marion,734.7,,
421,Persian Empire,6892867.5,Assyria,9272.7,Cypriot Kingdoms,9272.7,Paphos,1079.7,,
422,Persian Empire,6892867.5,Assyria,9272.7,Cypriot Kingdoms,9272.7,Salamis,1611.6,,
423,Persian Empire,6892867.5,Assyria,9272.7,Cypriot Kingdoms,9272.7,Soloi,1204.9,,
424,Persian Empire,6892867.5,Assyria,9272.7,Cypriot Kingdoms,9272.7,Tamassos,559.7,,
425,Persian Empire,6892867.5,Babylonia,569112.5,,,,,,
426,Persian Empire,6892867.5,Babylonia,569112.5,Assyria,378326.5,,,,
427,Persian Empire,6892867.5,Babylonia,569112.5,Assyria,378326.5,Assyria,209578.1,,
428,Persian Empire,6892867.5,Babylonia,569112.5,Assyria,378326.5,Kilikia,36011.1,,
429,Persian Empire,6892867.5,Babylonia,569112.5,Assyria,378326.5,Kilikia,36011.1,Pityussa,3.3
430,Persian Empire,6892867.5,Babylonia,569112.5,Assyria,378326.5,Syria,132737.3,,
431,Persian Empire,6892867.5,Babylonia,569112.5,Babylonia,190786.0,,,,
432,Persian Empire,6892867.5,Babylonia,569112.5,Babylonia,190786.0,Arbelitis,45034.5,,
433,Persian Empire,6892867.5,Babylonia,569112.5,Babylonia,190786.0,Babylonia,86259.8,,
434,Persian Empire,6892867.5,Babylonia,569112.5,Babylonia,190786.0,Sittakene,59491.7,,
435,Persian Empire,6892867.5,Baktriane,1555292.8,,,,,,
436,Persian Empire,6892867.5,Baktriane,1555292.8,Amyrgioi,187840.4,,,,
437,Persian Empire,6892867.5,Baktriane,1555292.8,Areia,134482.4,,,,
438,Persian Empire,6892867.5,Baktriane,1555292.8,Baktriane,283515.9,,,,
439,Persian Empire,6892867.5,Baktriane,1555292.8,Baktriane,283515.9,Baktriane,110615.4,,
440,Persian Empire,6892867.5,Baktriane,1555292.8,Baktriane,283515.9,Margiana,172900.5,,
441,Persian Empire,6892867.5,Baktriane,1555292.8,Daoi,340318.7,,,,
442,Persian Empire,6892867.5,Baktriane,1555292.8,Gandara,77499.0,,,,
443,Persian Empire,6892867.5,Baktriane,1555292.8,Gandara,77499.0,Gandara,30333.8,,
444,Persian Empire,6892867.5,Baktriane,1555292.8,Gandara,77499.0,Paropamisos,47165.3,,
445,Persian Empire,6892867.5,Baktriane,1555292.8,Massagetai,320653.7,,,,
446,Persian Empire,6892867.5,Baktriane,1555292.8,Sogdia,210982.5,,,,
447,Persian Empire,6892867.5,Baktriane,1555292.8,Sogdia,210982.5,Dyrbaioi,21623.6,,
448,Persian Empire,6892867.5,Baktriane,1555292.8,Sogdia,210982.5,Sogdia,189456.6,,
449,Persian Empire,6892867.5,Egypt,1019703.4,,,,,,
450,Persian Empire,6892867.5,Egypt,1019703.4,Aithiopia,165675.5,,,,
451,Persian Empire,6892867.5,Egypt,1019703.4,Arabia,293136.3,,,,
452,Persian Empire,6892867.5,Egypt,1019703.4,Egypt,361758.5,,,,
453,Persian Empire,6892867.5,Egypt,1019703.4,Egypt,361758.5,Egypt,60209.5,,
454,Persian Empire,6892867.5,Egypt,1019703.4,Egypt,361758.5,Egypt,60209.5,Lower Egypt Nome 1 Aneb-Hetch,951.8
455,Persian Empire,6892867.5,Egypt,1019703.4,Egypt,361758.5,Egypt,60209.5,Lower Egypt Nome 10 Ka-khem/Ka-qem/Ken-wer,1079.3
456,Persian Empire,6892867.5,Egypt,1019703.4,Egypt,361758.5,Egypt,60209.5,Lower Egypt Nome 11 Ka-henseb,1154.2
457,Persian Empire,6892867.5,Egypt,1019703.4,Egypt,361758.5,Egypt,60209.5,Lower Egypt Nome 12 Theb-ka,1680.1
458,Persian Empire,6892867.5,Egypt,1019703.4,Egypt,361758.5,Egypt,60209.5,Lower Egypt Nome 13 Heq-At,951.4
459,Persian Empire,6892867.5,Egypt,1019703.4,Egypt,361758.5,Egypt,60209.5,Lower Egypt Nome 14 Khenty-abt,1147.2
460,Persian Empire,6892867.5,Egypt,1019703.4,Egypt,361758.5,Egypt,60209.5,Lower Egypt Nome 15 Tehut,1484.8
461,Persian Empire,6892867.5,Egypt,1019703.4,Egypt,361758.5,Egypt,60209.5,Lower Egypt Nome 16 Khaset/Kha,1062.2
462,Persian Empire,6892867.5,Egypt,1019703.4,Egypt,361758.5,Egypt,60209.5,Lower Egypt Nome 17 Semabehdet,720.1
463,Persian Empire,6892867.5,Egypt,1019703.4,Egypt,361758.5,Egypt,60209.5,Lower Egypt Nome 18 Am-Khent,352.8
464,Persian Empire,6892867.5,Egypt,1019703.4,Egypt,361758.5,Egypt,60209.5,Lower Egypt Nome 19 Am-Pehu,1088.0
465,Persian Empire,6892867.5,Egypt,1019703.4,Egypt,361758.5,Egypt,60209.5,Lower Egypt Nome 2 Khensu,576.2
466,Persian Empire,6892867.5,Egypt,1019703.4,Egypt,361758.5,Egypt,60209.5,Lower Egypt Nome 20 Sopdu,1351.2
