Name,MinLon,MinLat,MaxLon,MaxLat,EarliestDate,LatestDate
Ammonites,35,30,40.0,35,1280 BCE,587 BCE
Amorite Ebla,35,30,40.0,40,1900 BCE,1825 BCE
Amorite Mari,35,30,45.0,40,2100 BCE,1760 BCE
Amorite Tuttul,35,35,45.0,40,1900 BCE,1825 BCE
Amorites,35,30,50.0,40,2298 BCE,1081 BCE
Amurru,30,30,40.0,40,1728 BCE,968 BCE
Anarta,70,20,75.0,25,610 BCE,317 BCE
Andean Peoples,-85,-40,-65.0,5,2400 BCE,1 BCE
Andhra,80,15,85.0,20,610 BCE,300 BCE
Andorra,0,40,6.0,45,1990 CE,present
Anga,80,20,90.0,30,775 BCE,530 BCE
Angola,10,-20,25.0,0,1990 CE,present
Anshan,45,25,55.0,35,2348 BCE,653 BCE
Antandros,25,35,30.0,40,478 BCE,410 BCE
Antarctica,-160,-90,225.0,-60,1990 CE,present
Anti Macedon Alliance,20,35,25.0,40,338 BCE,338 BCE
Anti Roman Alliance,12,40,18.0,45,341 BCE,338 BCE
Anti Spartan Alliance,18,30,35.0,45,395 BCE,386 BCE
Antigonid Ally,20,30,36.0,45,315 BCE,289 BCE
Antigonid Kingdom,15,30,50.0,45,306 BCE,281 CE
Antigua and Barbuda,-65,15,-60.0,20,1990 CE,present
Antipatrid Ally,18,35,36.0,45,310 BCE,305 BCE
Anupa,75,20,80.0,25,610 BCE,348 BCE
Anuradhapura,75,5,85.0,10,325 BCE,1 BCE
Aparytae,70,30,75.0,35,610 BCE,543 BCE
Apollonia,18,40,24.0,45,490 BCE,283 BCE
Arabs,30,15,60.0,35,1000 BCE,1 BCE
Aram Damascus,30,25,40.0,40,1145 BCE,605 BCE
Aram-Naharim,35,35,40.0,40,1145 BCE,1105 BCE
Aram-Zobah,35,30,40.0,35,1145 BCE,750 BCE
Aramaeans,35,30,50.0,40,1280 BCE,1 BCE
Arcadia,20,35,25.0,40,742 BCE,445 BCE
Arcadian League,20,35,25.0,40,370 BCE,1 BCE
Arctic Marine Mammal Hunters,100,60,192.0,80,2400 BCE,1 BCE
Arctic Peoples,-170,55,-40.0,75,2400 BCE,1 BCE
Ardiaei,18,40,24.0,45,346 BCE,1 BCE
Argaric Culture,-5,35,0.0,40,2200 BCE,1500 BCE
Argentina,-80,-60,-50.0,-20,1990 CE,present
Argos,20,35,25.0,40,494 BCE,1 BCE
Armenia,40,35,50.0,45,1990 CE,present
Aryan People,60,25,80.0,40,2050 BCE,531 BCE
Arzawa,24,30,40.0,45,1775 BCE,1201 BCE
Asinia,20,35,25.0,40,780 BCE,758 BCE
Assaka,75,15,85.0,20,725 BCE,300 BCE
Assakenoi,70,30,75.0,40,610 BCE,516 BCE
Assyrian Kingdoms,40,30,50.0,40,2303 BCE,1920 BCE
Assyrian revolt,40,30,45.0,40,1195 BCE,1055 BCE
Asvaka,70,30,75.0,40,610 BCE,516 BCE
Athamania,20,35,25.0,40,430 BCE,1 BCE
Athenian ally,25,35,30.0,40,384 BCE,378 BCE
Athens,20,35,30.0,45,900 BCE,1 BCE
Atropatene,40,35,54.0,45,319 BCE,1 BCE
Atuna,30,35,40.0,40,826 BCE,680 BCE
Audumbaras,70,30,80.0,35,600 BCE,323 BCE
Aurunci,12,40,18.0,45,800 BCE,334 BCE
Australia,72,-55,170.0,-5,1990 CE,present
Austria,6,45,18.0,50,1990 CE,present
Austro-Asiatic Peoples,90,5,115.0,25,2400 BCE,1 BCE
Austronesians,95,-20,180.0,30,2400 BCE,1 BCE
Avanti,70,20,85.0,30,850 BCE,400 BCE
Azerbaijan,40,35,54.0,45,1990 CE,present
Azzi-Hayasa,35,35,45.0,45,1505 BCE,1200 BCE
Ba,105,25,115.0,35,1075 BCE,316 BCE
Babylonia,40,25,55.0,40,977 BCE,732 BCE
Babylonia (Chaldaeans),35,25,50.0,40,780 BCE,616 BCE
Babylonia (Isin Dynasty),40,25,55.0,40,1157 BCE,977 BCE
Babylonian Tributary,35,30,55.0,40,1763 BCE,1701 BCE
Babylonian revolt,40,25,50.0,35,852 BCE,549 BCE
Bactrians,60,30,75.0,40,1700 BCE,545 BCE
Bahamas,-85,20,-70.0,30,1990 CE,present
Bahrain,50,25,55.0,30,1990 CE,present
Baipu,105,25,115.0,35,770 BCE,523 BCE
Balts,8,50,40.0,60,2050 BCE,1 BCE
Bangladesh,85,20,95.0,30,1990 CE,present
Bantu Peoples,5,-10,30.0,10,2000 BCE,1 BCE
Bao,105,30,110.0,35,771 BCE,500 BCE
Bao clan,115,35,120.0,40,500 BCE,481 BCE
Barbados,-60,10,-55.0,15,1990 CE,present
Bedouins,30,25,40.0,35,2048 BCE,843 BCE
Belarus,16,50,40.0,60,1990 CE,present
Belgium,0,45,8.0,55,1990 CE,present
Belize,-90,15,-85.0,20,1990 CE,present
Bell Beaker Peoples,-8,45,32.0,65,2400 BCE,2050 BCE
Benin,0,5,5.0,15,1990 CE,present
Berbers,-15,25,15.0,40,2400 BCE,1 BCE
Bessaei,18,40,30.0,45,469 BCE,341 BCE
Bhagga,80,25,85.0,30,610 BCE,560 BCE
Bhojas,75,20,80.0,25,321 BCE,301 BCE
Bhutan,85,25,95.0,30,1990 CE,present
Bit Agusi,35,35,40.0,40,900 BCE,605 BCE
Bit-Adini,35,35,40.0,40,1076 BCE,857 BCE
Bit-Bahiani,35,35,45.0,40,1076 BCE,896 BCE
Bit-Halupe,35,35,45.0,40,1076 BCE,894 BCE
Bit-Zamani,35,35,45.0,40,1025 BCE,882 BCE
Bithynia,24,40,36.0,45,323 BCE,1 BCE
Bithynians,24,40,36.0,45,696 BCE,552 BCE
Biyang,115,30,120.0,35,770 BCE,563 BCE
Bo,110,30,115.0,35,770 BCE,640 BCE
Boeotia,20,35,25.0,40,730 BCE,287 BCE
Bolivia,-70,-25,-55.0,-5,1990 CE,present
Bosnia and Herzegovina,12,40,24.0,50,1990 CE,present
Bosporan Kingdom,30,40,42.0,50,480 BCE,1 BCE
Botswana,15,-30,30.0,-15,1990 CE,present
Bottiaeans,18,40,24.0,45,650 BCE,492 BCE
Brahmana,80,25,85.0,30,610 BCE,467 BCE
Brazil,-75,-35,-25.0,10,1990 CE,present
Brunei,110,0,120.0,10,1990 CE,present
Bruttian League,12,35,20.0,45,356 BCE,1 BCE
Bruttians,15,35,20.0,40,450 BCE,400 BCE
Bruttii,15,35,20.0,40,500 BCE,436 BCE
Bu geng,110,30,115.0,35,770 BCE,533 BCE
Bulgaria,18,40,30.0,45,1990 CE,present
Burkina Faso,-10,5,5.0,20,1990 CE,present
Burundi,25,-5,35.0,0,1990 CE,present
Byzantium,24,40,30.0,45,355 BCE,1 BCE
Cai,110,30,120.0,35,770 BCE,447 BCE
California Peoples,-126,30,-115.0,45,2400 BCE,1 BCE
Callatis,24,40,30.0,45,359 BCE,1 BCE
Cambodia,100,10,110.0,15,1990 CE,present
Cameroon,5,0,20.0,15,1990 CE,present
Campania,12,40,18.0,45,438 BCE,343 BCE
Campanians,10,35,15.0,40,370 BCE,344 BCE
Canaanites,30,30,40.0,35,1850 BCE,1115 BCE
Canada,-150,40,-45.0,85,1990 CE,present
Cao,110,30,120.0,40,770 BCE,487 BCE
Cape Verde,-30,10,-20.0,20,1990 CE,present
Carduchii,40,35,45.0,40,385 BCE,384 BCE
Carians,25,35,30.0,40,1201 BCE,543 BCE
Caribbean Peoples,-85,5,-60.0,30,2400 BCE,1 BCE
Carthage,-10,30,20.0,45,650 BCE,1990 CE
Carthaginian Ally,-5,30,20.0,40,500 BCE,277 BCE
Carthaginian Tributary,10,35,15.0,40,405 BCE,375 BCE
Carystus,20,35,25.0,40,386 BCE,294 BCE
Catane,10,35,20.0,40,461 BCE,1 BCE
Caucasians,30,35,50.0,45,2400 BCE,690 BCE
Cedi,75,20,85.0,30,825 BCE,319 BCE
Celtic Mercenaries,18,35,35.0,45,276 BCE,274 BCE
Celto-Ligurians,-16,35,24.0,60,2050 BCE,1 BCE
Celts,0,35,36.0,55,1250 BCE,1 BCE
Central African Peoples,5,-10,40.0,15,2400 BCE,1 BCE
Central African Republic,10,0,30.0,15,1990 CE,present
Chad,10,5,25.0,25,1990 CE,present
Chadian People,5,10,20.0,20,2250 BCE,1 BCE
Chalcidian League,18,35,30.0,45,421 BCE,353 BCE
Chalcis,20,35,25.0,40,710 BCE,294 BCE
Chaldaea,40,25,50.0,35,800 BCE,790 BCE
Changdi,115,35,120.0,40,770 BCE,607 BCE
Chao,115,30,120.0,35,991 BCE,601 BCE
Chaonia,15,35,25.0,45,430 BCE,350 BCE
Chaonians,18,40,24.0,45,500 BCE,430 BCE
Chavin Culture,-80,-15,-70.0,-5,900 BCE,1 BCE
Chen,110,30,120.0,35,770 BCE,479 BCE
Cheng,110,35,120.0,40,770 BCE,408 BCE
Chera,75,5,80.0,15,325 BCE,1 BCE
Chile,-110,-60,-64.0,-15,1990 CE,present
China,70,15,138.0,55,1990 CE,present
Chinchorro Culture,-75,-25,-65.0,-15,2400 BCE,1 BCE
Chios,25,35,30.0,40,386 BCE,1 BCE
Chola,75,10,85.0,15,325 BCE,1 BCE
Chorrera Culture,-85,-5,-75.0,0,1300 BCE,1 BCE
Chu,105,20,125.0,40,1075 BCE,1 BCE
Cilicia,30,35,40.0,40,588 BCE,539 BCE
Cimmerian Kingdom,25,35,42.0,45,654 BCE,637 BCE
Cimmerians,18,35,54.0,50,1450 BCE,1 BCE
Civil war,15,35,120.0,40,547 BCE,314 BCE
Clan warfare,115,35,120.0,40,546 BCE,532 BCE
Colchis,36,40,48.0,45,1250 BCE,1 BCE
Colombia,-85,-5,-65.0,15,1990 CE,present
Comoros,40,-15,50.0,-10,1990 CE,present
Cong,105,30,110.0,35,770 BCE,600 BCE
Congo,10,-10,20.0,5,1990 CE,present
Corcyra,12,35,25.0,45,665 BCE,300 BCE
Corinthia,10,35,25.0,45,747 BCE,338 BCE
Coronea,20,35,25.0,40,386 BCE,378 BCE
Cossaeans,45,30,50.0,35,330 BCE,324 BCE
Costa Rica,-90,5,-80.0,15,1990 CE,present
Cretan City States,20,30,30.0,40,500 BCE,1 BCE
Croatia,12,40,24.0,50,1990 CE,present
Croton,15,35,20.0,40,550 BCE,430 BCE
Cuba,-85,15,-70.0,25,1990 CE,present
Cushitic People,35,0,55.0,15,1000 BCE,1 BCE
Cypriot Kingdoms,30,30,35.0,40,1180 BCE,344 BCE
Cyprus,30,30,35.0,40,1990 CE,present
Cyzicus,24,40,30.0,45,323 BCE,279 BCE
Czech Republic,8,45,24.0,55,1990 CE,present
Côte d'Ivoire,-10,0,0.0,15,1990 CE,present
D'mt,35,10,45.0,20,980 BCE,1 BCE
Dai,108,35,120.0,45,770 BCE,457 BCE
Dai(2),110,30,120.0,35,770 BCE,713 BCE
Dali,105,35,110.0,40,550 BCE,1 BCE
Dan,105,25,110.0,35,770 BCE,670 BCE
Dao,110,30,115.0,35,770 BCE,637 BCE
Daoi,48,35,60.0,50,329 BCE,1 BCE
Dapeng,115,30,120.0,35,1350 BCE,1208 BCE
Daradas,70,35,75.0,40,610 BCE,1 BCE
Dardani,18,40,24.0,45,800 BCE,1 BCE
Dasarnas,75,20,80.0,25,610 BCE,349 BCE
Dassaretis,18,40,24.0,45,500 BCE,399 BCE
Daunians,12,40,18.0,45,800 BCE,323 BCE
Dayenu,40,35,45.0,40,735 BCE,734 BCE
Delian League,10,25,42.0,45,479 BCE,404 BCE
Delphi,20,35,25.0,40,448 BCE,448 BCE
Deng,110,30,115.0,35,771 BCE,678 BCE
Denmark,-90,50,16.0,85,1990 CE,present
Desert Cultures,-120,20,-95.0,45,2400 BCE,1 BCE
Di,105,30,120.0,40,770 BCE,407 BCE
Di(2),100,30,110.0,35,771 BCE,361 BCE
Diauekhi,36,35,48.0,45,931 BCE,591 BCE
Dilmun,45,20,55.0,30,2400 BCE,1550 BCE
Djibouti,40,10,45.0,15,1990 CE,present
Dolopia,20,35,25.0,40,695 BCE,1 BCE
Domain of Amphimakhos,35,30,50.0,40,319 BCE,316 BCE
Domain of Antigenes,45,25,55.0,35,319 BCE,316 BCE
Domain of Antigonus,20,25,75.0,45,319 BCE,306 BCE
Domain of Asandros,25,35,35.0,40,319 BCE,314 BCE
Domain of Cassander,15,35,35.0,45,319 BCE,304 BCE
Domain of Eudemus,70,25,80.0,35,319 BCE,316 BCE
Domain of Eumenes,40,25,65.0,40,317 BCE,315 BCE
Domain of Lysimakhos,18,40,30.0,50,319 BCE,305 BCE
Domain of Mithridates,30,35,40.0,45,301 BCE,281 BCE
Domain of Oxyartes,65,30,75.0,40,319 BCE,307 BCE
Domain of Peithon,40,30,65.0,40,319 BCE,316 BCE
Domain of Peithon (son of Agenor),65,20,75.0,35,319 BCE,316 BCE
Domain of Peukestas,45,25,60.0,35,319 BCE,315 BCE
Domain of Philip,50,30,65.0,40,319 BCE,318 BCE
Domain of Philoxenos,30,35,40.0,40,319 BCE,318 BCE
Domain of Polyperchon,20,35,30.0,40,316 BCE,309 BCE
Domain of Ptolemy,20,20,45.0,40,319 BCE,305 BCE
Domain of Seleucus,40,25,75.0,40,319 BCE,1 BCE
Domain of Sibyrtios,55,25,75.0,35,319 BCE,306 BCE
Domain of Stasandros,55,25,70.0,40,319 BCE,315 BCE
Domain of Stasanor,55,30,75.0,45,319 BCE,305 BCE
Domain of Tlepolemos,50,25,65.0,35,319 BCE,315 BCE
Dominica,-65,15,-60.0,20,1990 CE,present
Dominican Republic,-75,15,-65.0,20,1990 CE,present
Donghu,114,40,126.0,50,770 BCE,1 BCE
Dongyi Peoples,115,35,125.0,40,1500 BCE,770 BCE
Dorians,10,30,35.0,45,1223 BCE,1 BCE
Doris,20,35,25.0,40,695 BCE,339 BCE
Dravidians,70,5,95.0,30,2400 BCE,1 BCE
Du,105,30,110.0,35,771 BCE,687 BCE
Duan,110,30,115.0,40,743 BCE,722 BCE
Duchy of Jin,105,30,120.0,45,678 BCE,349 BCE
Dun,110,30,120.0,35,770 BCE,496 BCE
Dvaraka,65,20,75.0,25,610 BCE,317 BCE
E,110,25,120.0,35,862 BCE,700 BCE
East African Peoples,35,0,55.0,15,2400 BCE,1 BCE
Eastern Guo,110,30,115.0,35,771 BCE,767 BCE
Eastern Woodland Peoples,-96,25,-48.0,55,2400 BCE,1 BCE
Ecuador,-95,-5,-75.0,5,1990 CE,present
Edomites,30,25,40.0,35,1280 BCE,526 BCE
Egypt,20,20,40.0,35,1990 CE,present
Egypt: (Herakleopolis),30,25,35.0,30,755 BCE,726 BCE
Egypt: (Hermopolis),30,25,35.0,30,755 BCE,726 BCE
Egypt: Areas of Unrest,25,20,35.0,35,1991 BCE,410 BCE
Egypt: Heracleopolitans,25,20,35.0,35,2400 BCE,2040 BCE
Egypt: Hyksos,25,20,40.0,35,1720 BCE,1565 BCE
Egypt: Middle Kingdom,25,20,40.0,35,2040 BCE,1661 BCE
Egypt: New Kingdom,25,15,45.0,40,1567 BCE,1085 BCE
Egypt: Old Kdm,25,20,40.0,35,2400 BCE,2159 BCE
Egypt: Rebellion of Pedubast,30,20,35.0,30,829 BCE,798 BCE
Egypt: Revolt of Amasis,25,30,30.0,35,571 BCE,571 BCE
Egypt: Tanites,30,25,35.0,35,1085 BCE,945 BCE
Egypt: Thebans,25,20,35.0,35,2152 BCE,754 BCE
Egypt: Thirtieth Dynasty,25,20,40.0,35,380 BCE,342 BCE
Egypt: Twenty Eighth Dynasty,25,20,35.0,35,404 BCE,399 BCE
Egypt: Twenty Fourth Dynasty,25,25,35.0,35,745 BCE,714 BCE
Egypt: Twenty Ninth Dynasty,25,20,35.0,35,399 BCE,380 BCE
Egypt: Twenty Second Dynasty,25,20,40.0,35,945 BCE,720 BCE
Egypt: Twenty Sixth Dynasty,20,15,40.0,40,672 BCE,525 BCE
Egypt: Twenty Sixth Dynasty Tributary,30,30,40.0,35,609 BCE,605 BCE
Egypt: Twenty Third Dynasty,30,20,35.0,30,880 BCE,755 BCE
El Paraiso Culture,-80,-15,-70.0,-5,2000 BCE,900 BCE
El Salvador,-95,10,-85.0,15,1990 CE,present
Elam,40,25,60.0,40,2355 BCE,520 BCE
Elamite Tributary,40,30,50.0,40,1769 BCE,693 BCE
Elimiotis,18,40,24.0,45,540 BCE,358 BCE
Elis,20,35,25.0,40,725 BCE,1 BCE
Ellipi,45,30,50.0,35,970 BCE,702 BCE
Elymians,10,35,15.0,40,1150 BCE,500 BCE
Enchele,18,40,24.0,45,650 BCE,500 BCE
Enzite,35,35,45.0,40,931 BCE,802 BCE
Eordaia,18,40,24.0,45,540 BCE,475 BCE
Epicnemidian Locris,18,35,25.0,45,695 BCE,1 BCE
Epidauria,20,35,25.0,40,780 BCE,670 BCE
Epirote Ally,10,35,24.0,45,292 BCE,275 CE
Equatorial Guinea,5,-5,15.0,5,1990 CE,present
Er,110,30,115.0,35,770 BCE,700 BCE
Eretria,20,35,30.0,40,710 BCE,294 BCE
Eriakhi,42,40,48.0,45,880 BCE,703 BCE
Erikuakhi,40,35,48.0,45,880 BCE,706 BCE
Eritrea,35,10,45.0,20,1990 CE,present
Erligang Culture,105,30,120.0,40,1600 BCE,1400 BCE
Erlitou Culture,105,30,120.0,40,1900 BCE,1600 BCE
Estonia,16,55,32.0,60,1990 CE,present
Ethiopia,30,0,50.0,15,1990 CE,present
Etiukhi,40,35,48.0,45,931 BCE,709 BCE
Etiuni,42,40,48.0,45,880 BCE,703 BCE
Etruria,6,35,20.0,50,760 BCE,1 BCE
Etruscans,6,40,18.0,50,1725 BCE,515 BCE
Euboea,20,35,25.0,40,446 BCE,309 BCE
Fan,115,30,120.0,35,770 BCE,504 BCE
Fan clan,110,35,115.0,40,500 BCE,491 BCE
Fan(2),110,35,115.0,40,770 BCE,660 BCE
Fang,110,30,115.0,35,770 BCE,637 BCE
Fei,110,35,120.0,40,770 BCE,530 BCE
Feng,105,30,110.0,35,771 BCE,550 BCE
Fiji,175,-25,185.0,-10,1990 CE,present
Finland,10,55,40.0,75,1990 CE,present
Finns,10,50,72.0,70,2400 BCE,1 BCE
France,-155,-55,185.0,55,1990 CE,present
Gabon,5,-5,15.0,5,1990 CE,present
Gambia,-20,10,-10.0,15,1990 CE,present
Gandhara,70,30,80.0,40,975 BCE,517 BCE
Gao,115,30,120.0,35,770 BCE,721 BCE
Gao clan,115,35,120.0,40,500 BCE,489 BCE
Gaoluo,110,35,115.0,40,770 BCE,660 BCE
Garamantes,10,25,30.0,30,500 BCE,1 BCE
Ge,115,30,120.0,35,1750 BCE,593 BCE
Gedrosia,55,25,70.0,35,329 BCE,325 BCE
Gela,10,35,20.0,40,505 BCE,311 BCE
Geng,110,35,115.0,40,770 BCE,661 BCE
Genmou,115,35,120.0,40,770 BCE,600 BCE
Georgia,36,40,48.0,45,1990 CE,present
Germany,0,45,18.0,60,1990 CE,present
Geshur,35,30,40.0,35,1151 BCE,988 BCE
Getae,24,40,30.0,50,469 BCE,1 BCE
Ghana,-5,0,5.0,15,1990 CE,present
Gilead,35,30,40.0,35,1151 BCE,740 BCE
Gilzanu,40,35,45.0,40,863 BCE,714 BCE
Gojoseon,120,35,126.0,45,770 BCE,280 BCE
Gong,105,25,115.0,40,770 BCE,280 BCE
Gong(2),105,25,110.0,30,770 BCE,670 BCE
Great Chiefs of the Meshwesh,30,30,35.0,35,745 BCE,726 BCE
Greece,15,30,30.0,45,1990 CE,present
Greek Alliance,18,30,35.0,45,480 BCE,477 BCE
Greek mercenaries,25,30,40.0,40,332 BCE,332 BCE
Greeks,24,30,48.0,45,630 BCE,400 BCE
Grenada,-65,10,-60.0,15,1990 CE,present
Gu,110,30,120.0,40,1750 BCE,700 BCE
Gu(2),115,35,120.0,40,770 BCE,520 BCE
Guang,110,30,120.0,35,770 BCE,650 BCE
Guatemala,-95,10,-85.0,20,1990 CE,present
Gui,105,30,110.0,35,771 BCE,688 BCE
Guifang,95,30,115.0,45,1400 BCE,1 BCE
Guinea,-20,5,-5.0,15,1990 CE,present
Guinea Bissau,-20,10,-10.0,15,1990 CE,present
Guo,115,35,120.0,40,770 BCE,670 BCE
Guo clan,115,35,120.0,40,500 BCE,489 BCE
Gurgum,35,35,40.0,40,1190 BCE,604 BCE
Guti,40,30,55.0,40,2348 BCE,1131 BCE
Guti Tributary,40,30,50.0,35,2193 BCE,2119 BCE
Guyana,-65,0,-55.0,10,1990 CE,present
Guzanu,35,35,45.0,40,809 BCE,758 BCE
Guzhu,114,35,120.0,45,770 BCE,662 BCE
Haihayas,70,20,80.0,25,610 BCE,549 BCE
Haiti,-75,15,-70.0,25,1990 CE,present
Haliartos,20,35,25.0,40,386 BCE,378 BCE
Hamaranu,40,30,50.0,35,811 BCE,745 BCE
Han,115,30,120.0,35,770 BCE,615 BCE
Han(2),110,35,115.0,40,770 BCE,757 BCE
Hann,110,30,120.0,40,453 BCE,1 BCE
Hann clan,110,30,115.0,40,500 BCE,453 BCE
Hapalla,30,35,35.0,40,1395 BCE,1385 BCE
Harhar,40,30,50.0,35,970 BCE,737 BCE
Harshi,40,30,50.0,40,1985 BCE,1600 BCE
Hattians,30,35,40.0,45,2199 BCE,1861 BCE
Hellenic League,20,35,30.0,45,323 BCE,322 BCE
Helmand and Jiroft Cultures,55,25,70.0,35,2400 BCE,1750 BCE
Helot Revolt,20,35,25.0,40,465 BCE,456 BCE
Heraklea Pontica,30,40,36.0,45,274 BCE,1 BCE
Hermionis,20,35,25.0,40,780 BCE,670 BCE
Hernici,12,40,18.0,45,600 BCE,358 BCE
Hilakku,30,35,35.0,40,836 BCE,635 BCE
Himera,10,35,20.0,40,472 BCE,409 BCE
Hindanu,35,30,45.0,40,1120 BCE,612 BCE
Hittites,24,35,42.0,45,2050 BCE,1180 BCE
Honduras,-90,10,-80.0,20,1990 CE,present
Hu,115,30,120.0,35,770 BCE,495 BCE
Hu(2),110,30,115.0,35,770 BCE,763 BCE
Hu(3),110,30,115.0,35,770 BCE,763 BCE
Hua,110,30,115.0,35,770 BCE,627 BCE
Huaiyi,115,30,125.0,40,770 BCE,512 BCE
Huaiyi Peoples,110,30,125.0,35,1500 BCE,584 BCE
Huang,110,30,120.0,35,770 BCE,648 BCE
Hubushkia,40,35,45.0,40,863 BCE,698 BCE
Hungary,12,45,24.0,50,1990 CE,present
Huo,110,35,115.0,40,770 BCE,661 BCE
Hupis(h)na,30,35,35.0,40,826 BCE,738 BCE
Hurrian Kingdom,35,35,45.0,40,1615 BCE,1346 BCE
Hurrian Kingdoms,35,35,50.0,40,2217 BCE,1790 BCE
Hurrians,35,30,50.0,40,2400 BCE,863 BCE
Iapygii,12,40,18.0,45,500 BCE,318 BCE
Iberians,-12,35,48.0,50,1725 BCE,1 BCE
Iceland,-36,60,-10.0,70,1990 CE,present
Idamaraz,40,30,45.0,40,1741 BCE,1615 BCE
Ikshvakus,80,25,85.0,30,364 BCE,361 BCE
Illyrian Kingdom,18,40,24.0,45,279 BCE,1 BCE
Illyrian Tributary,18,40,24.0,45,372 BCE,370 BCE
Illyrians,12,40,24.0,50,1725 BCE,1 BCE
Illyrioi,12,40,24.0,45,500 BCE,1 BCE
Imbros,24,40,30.0,45,281 BCE,1 BCE
India,65,5,100.0,40,1990 CE,present
Indo-Aryans,65,15,90.0,35,1500 BCE,300 BCE
Indonesia,95,-15,145.0,10,1990 CE,present
Indus Valley Civilization,60,20,80.0,35,2400 BCE,1750 BCE
Indus Valley Peoples,60,20,75.0,30,1750 BCE,775 BCE
Ionian League,20,30,36.0,45,690 BCE,478 BCE
Ionians,0,35,42.0,50,1202 BCE,1 BCE
Iran,40,25,65.0,40,1990 CE,present
Iranians,40,25,96.0,55,2400 BCE,531 BCE
Iraq,35,25,50.0,40,1990 CE,present
Ireland,-16,50,0.0,60,1990 CE,present
Ishtu(a)nda,35,35,40.0,40,826 BCE,677 BCE
Israel,30,25,40.0,35,1990 CE,present
Israel/Samaria,30,30,40.0,35,931 BCE,720 BCE
Israelites,30,25,40.0,35,1230 BCE,1035 BCE
Istros,24,40,30.0,50,359 BCE,313 BCE
Isuwa,35,35,45.0,40,1505 BCE,1434 BCE
Itabalhum,40,35,50.0,40,1850 BCE,1600 BCE
Italics,6,35,24.0,50,2050 BCE,450 BCE
Italiote League,10,35,25.0,45,430 BCE,1 BCE
Italy,5,35,24.0,50,1990 CE,present
Jamaica,-80,15,-75.0,20,1990 CE,present
Japan,120,20,155.0,50,1990 CE,present
Ji,110,35,115.0,40,770 BCE,658 BCE
Ji(2),115,35,120.0,40,770 BCE,690 BCE
Ji(3),115,30,120.0,40,770 BCE,721 BCE
Ji(4),110,30,115.0,35,770 BCE,750 BCE
Ji(5),114,35,120.0,45,770 BCE,769 BCE
Ji(6),105,30,110.0,35,771 BCE,688 BCE
Jia,110,35,115.0,40,770 BCE,678 BCE
Jiang,110,30,115.0,35,770 BCE,623 BCE
Jiang Qi,115,35,120.0,40,481 BCE,386 BCE
Jiang(2),115,30,120.0,35,770 BCE,617 BCE
Jiao,110,30,115.0,35,770 BCE,700 BCE
Jie,115,35,120.0,40,770 BCE,599 BCE
Jin,105,30,120.0,45,770 BCE,456 BCE
Jomon Culture,130,30,145.0,40,2400 BCE,1 BCE
Jordan,30,25,40.0,35,1990 CE,present
Ju,115,30,125.0,40,770 BCE,431 BCE
Ju(2),105,30,110.0,35,771 BCE,550 BCE
