Name,MinLon,MinLat,MaxLon,MaxLat,EarliestDate,LatestDate
Aram-Zobah,35,30,40.0,35,1145.5 BCE,750.5 BCE
Aramaeans,35,30,50.0,40,1280 BCE,1 BCE
Arcadia,20,35,25.0,40,742.5 BCE,445.5 BCE
Arcadian League,20,35,25.0,40,363.3 BCE,268.2 BCE
Arctic Marine Mammal Hunters,100,60,192.0,80,2400.1 BCE,1 BCE
Arctic Peoples,-170,55,-40.0,75,2400.1 BCE,1 BCE
Ardiaei,18,40,24.0,45,346.5 BCE,1 BCE
Argaric Culture,-5,35,0.0,40,2200.1 BCE,1500.1 BCE
Argentina,-80,-60,-50.0,-20,1990 CE,present
Argos,20,35,25.0,40,494.1 BCE,272.1 BCE
Armenia,40,35,50.0,45,1990 CE,present
Aryan People,60,25,80.0,40,2050.1 BCE,531.5 BCE
Arzawa,24,30,40.0,45,1775.5 BCE,1201.5 BCE
Asinia,20,35,25.0,40,780.5 BCE,758.5 BCE
Assaka,75,15,85.0,20,725.1 BCE,300.5 BCE
Assakenoi,70,30,75.0,40,610.1 BCE,516.5 BCE
Assyrian Kingdoms,40,30,50.0,40,2217.9 BCE,1920.1 BCE
Assyrian revolt,40,30,45.0,40,,
Asvaka,70,30,75.0,40,610.1 BCE,516.5 BCE
Athamania,20,35,25.0,40,430.8 BCE,1 BCE
Athenian ally,25,35,30.0,40,384.5 BCE,378.7 BCE
Athens,20,35,30.0,45,900.1 BCE,268.2 CE
Atropatene,40,35,54.0,45,319.5 BCE,1 BCE
Atuna,30,35,40.0,40,826.8 BCE,680.5 BCE
Audumbaras,70,30,80.0,35,600.5 BCE,323.3 BCE
Aurunci,12,40,18.0,45,800.1 BCE,334.5 BCE
Australia,72,-55,170.0,-5,1990 CE,present
Austria,6,45,18.0,50,1990 CE,present
Austro-Asiatic Peoples,90,5,115.0,25,2400.1 BCE,1 BCE
Austronesians,95,-20,180.0,30,2400.1 BCE,1 BCE
Avanti,70,20,85.0,30,850.1 BCE,400.5 BCE
Azerbaijan,40,35,54.0,45,1990 CE,present
Azzi-Hayasa,35,35,45.0,45,1505.5 BCE,1200.4 BCE
Ba,105,25,115.0,35,1075.1 BCE,316.5 BCE
Babylonia,40,25,55.0,40,977.5 BCE,732.1 BCE
Babylonia (Chaldaeans),35,25,50.0,40,780.5 BCE,616.4 BCE
Babylonia (Isin Dynasty),40,25,55.0,40,1157.5 BCE,977.5 BCE
Babylonian Tributary,35,30,55.0,40,1763.5 BCE,1701.5 BCE
Babylonian revolt,40,25,50.0,35,852.5 BCE,648.3 BCE
Bactrians,60,30,75.0,40,1700.1 BCE,545.5 BCE
Bahamas,-85,20,-70.0,30,1990 CE,present
Bahrain,50,25,55.0,30,1990 CE,present
Baipu,105,25,115.0,35,770.1 BCE,523.5 BCE
Balts,8,50,40.0,60,2050.1 BCE,1 BCE
Bangladesh,85,20,95.0,30,1990 CE,present
Bantu Peoples,5,-10,30.0,10,2000.1 BCE,1 BCE
Bao,105,30,110.0,35,771.1 BCE,500.5 BCE
Bao clan,115,35,120.0,40,500.1 BCE,481.5 BCE
Barbados,-60,10,-55.0,15,1990 CE,present
Bedouins,30,25,40.0,35,1990.5 BCE,843.1 BCE
Belarus,16,50,40.0,60,1990 CE,present
Belgium,0,45,8.0,55,1990 CE,present
Belize,-90,15,-85.0,20,1990 CE,present
Bell Beaker Peoples,-8,45,32.0,65,2400.1 BCE,2050.1 BCE
Benin,0,5,5.0,15,1990 CE,present
Berbers,-15,25,15.0,40,2400.1 BCE,1 BCE
Bessaei,18,40,30.0,45,469.5 BCE,341.5 BCE
Bhagga,80,25,85.0,30,610.1 BCE,560.5 BCE
Bhojas,75,20,80.0,25,321.5 BCE,301.5 BCE
Bhutan,85,25,95.0,30,1990 CE,present
Bit Agusi,35,35,40.0,40,900.1 BCE,605.5 BCE
Bit-Adini,35,35,40.0,40,1076.5 BCE,858.7 BCE
Bit-Bahiani,35,35,45.0,40,1076.5 BCE,896.5 BCE
Bit-Halupe,35,35,45.0,40,1076.5 BCE,894.5 BCE
Bit-Zamani,35,35,45.0,40,1025.5 BCE,882.5 BCE
Bithynia,24,40,36.0,45,323.4 BCE,1 BCE
Bithynians,24,40,36.0,45,696.5 BCE,552.5 BCE
Biyang,115,30,120.0,35,770.1 BCE,563.5 BCE
Bo,110,30,115.0,35,770.1 BCE,640.5 BCE
Boeotia,20,35,25.0,40,730.5 BCE,338.2 BCE
Bolivia,-70,-25,-55.0,-5,1990 CE,present
Bosnia and Herzegovina,12,40,24.0,50,1990 CE,present
Bosporan Kingdom,30,40,42.0,50,480.5 BCE,1 BCE
Botswana,15,-30,30.0,-15,1990 CE,present
Bottiaeans,18,40,24.0,45,650.3 BCE,492.1 BCE
Brahmana,80,25,85.0,30,610.1 BCE,467.5 BCE
Brazil,-75,-35,-25.0,10,1990 CE,present
Brunei,110,0,120.0,10,1990 CE,present
Bruttian League,12,35,20.0,45,356.5 BCE,267.5 BCE
Bruttians,15,35,20.0,40,450.1 BCE,400.1 BCE
Bruttii,15,35,20.0,40,500.1 BCE,436.5 BCE
Bu geng,110,30,115.0,35,770.1 BCE,533.5 BCE
Bulgaria,18,40,30.0,45,1990 CE,present
Burkina Faso,-10,5,5.0,20,1990 CE,present
Burundi,25,-5,35.0,0,1990 CE,present
Byzantium,24,40,30.0,45,355.5 BCE,1 BCE
Cai,110,30,120.0,35,770.1 BCE,447.5 BCE
California Peoples,-126,30,-115.0,45,2400.1 BCE,1 BCE
Callatis,24,40,30.0,45,359.7 BCE,1 BCE
Cambodia,100,10,110.0,15,1990 CE,present
Cameroon,5,0,20.0,15,1990 CE,present
Campania,12,40,18.0,45,438.5 BCE,343.2 BCE
Campanians,10,35,15.0,40,370.5 BCE,344.6 BCE
Canaanites,30,30,40.0,35,1850.1 BCE,1145.5 BCE
Canada,-150,40,-45.0,85,1990 CE,present
Cao,110,30,120.0,40,770.1 BCE,487.5 BCE
Cape Verde,-30,10,-20.0,20,1990 CE,present
Carduchii,40,35,45.0,40,385.8 BCE,384.5 BCE
Carians,25,35,30.0,40,1201.5 BCE,543.5 BCE
Caribbean Peoples,-85,5,-60.0,30,2400.1 BCE,1 BCE
Carthage,-10,30,20.0,45,602.5 BCE,1 BCE
Carthaginian Ally,-5,30,20.0,40,500.1 BCE,277.3 BCE
Carthaginian Tributary,10,35,15.0,40,405.1 BCE,375.5 BCE
Carystus,20,35,25.0,40,386.5 BCE,294.2 BCE
Catane,10,35,20.0,40,461.5 BCE,1 BCE
Caucasians,30,35,50.0,45,2400.1 BCE,690.5 BCE
Cedi,75,20,85.0,30,825.1 BCE,319.5 BCE
Celtic Mercenaries,18,35,35.0,45,,
Celto-Ligurians,-16,35,24.0,60,2050.1 BCE,1 BCE
Celts,0,35,36.0,55,1250.1 BCE,1 BCE
Central African Peoples,5,-10,40.0,15,2400.1 BCE,1 BCE
Central African Republic,10,0,30.0,15,1990 CE,present
Chad,10,5,25.0,25,1990 CE,present
Chadian People,5,10,20.0,20,2250.1 BCE,1 BCE
Chalcidian League,18,35,30.0,45,417.5 BCE,353.2 BCE
Chalcis,20,35,25.0,40,710.5 BCE,294.2 BCE
Chaldaea,40,25,50.0,35,800.5 BCE,790.5 BCE
Changdi,115,35,120.0,40,770.1 BCE,607.5 BCE
Chao,115,30,120.0,35,991.7 BCE,601.5 BCE
Chaonia,15,35,25.0,45,430.8 BCE,350.5 BCE
Chaonians,18,40,24.0,45,500.1 BCE,430.8 BCE
Chavin Culture,-80,-15,-70.0,-5,900.1 BCE,1 BCE
Chen,110,30,120.0,35,770.1 BCE,479.5 BCE
Cheng,110,35,120.0,40,770.1 BCE,408.5 BCE
Chera,75,5,80.0,15,325.5 BCE,1 BCE
Chile,-110,-60,-64.0,-15,1990 CE,present
China,70,15,138.0,55,1990 CE,present
Chinchorro Culture,-75,-25,-65.0,-15,2400.1 BCE,1 BCE
Chios,25,35,30.0,40,386.5 BCE,1 BCE
Chola,75,10,85.0,15,325.5 BCE,1 BCE
Chorrera Culture,-85,-5,-75.0,0,1300.1 BCE,1 BCE
Chu,105,20,125.0,40,1075.1 BCE,1 BCE
Cilicia,30,35,40.0,40,588.5 BCE,539.2 BCE
Cimmerian Kingdom,25,35,42.0,45,654.5 BCE,637.5 BCE
Cimmerians,18,35,54.0,50,1450.5 BCE,1 BCE
Civil war,15,35,120.0,40,463.7 BCE,314.5 BCE
Clan warfare,115,35,120.0,40,,
Colchis,36,40,48.0,45,1250.1 BCE,1 BCE
Colombia,-85,-5,-65.0,15,1990 CE,present
Comoros,40,-15,50.0,-10,1990 CE,present
Cong,105,30,110.0,35,770.1 BCE,600.5 BCE
Congo,10,-10,20.0,5,1990 CE,present
Corcyra,12,35,25.0,45,665.5 BCE,300.2 BCE
Corinthia,10,35,25.0,45,747.5 BCE,338.7 BCE
Coronea,20,35,25.0,40,386.5 BCE,378.8 BCE
Cossaeans,45,30,50.0,35,330.3 BCE,324.1 BCE
Costa Rica,-90,5,-80.0,15,1990 CE,present
Cretan City States,20,30,30.0,40,500.1 BCE,1 BCE
Croatia,12,40,24.0,50,1990 CE,present
Croton,15,35,20.0,40,550 BCE,430.5 BCE
Cuba,-85,15,-70.0,25,1990 CE,present
Cushitic People,35,0,55.0,15,1000.1 BCE,1 BCE
Cypriot Kingdoms,30,30,35.0,40,1180.5 BCE,1050 BCE
Cyprus,30,30,35.0,40,1990 CE,present
Cyzicus,24,40,30.0,45,323.4 BCE,279.7 BCE
Czech Republic,8,45,24.0,55,1990 CE,present
Côte d'Ivoire,-10,0,0.0,15,1990 CE,present
D'mt,35,10,45.0,20,980.1 BCE,1 BCE
Dai,108,35,120.0,45,770.1 BCE,457.5 BCE
Dai(2),110,30,120.0,35,770.1 BCE,713.5 BCE
Dali,105,35,110.0,40,550.5 BCE,272.5 BCE
Dan,105,25,110.0,35,770.1 BCE,670.5 BCE
Dao,110,30,115.0,35,770.1 BCE,637.5 BCE
Daoi,48,35,60.0,50,329.5 BCE,1 BCE
Dapeng,115,30,120.0,35,1350.1 BCE,1208.5 BCE
Daradas,70,35,75.0,40,610.1 BCE,1 BCE
Dardani,18,40,24.0,45,800.1 BCE,1 BCE
Dasarnas,75,20,80.0,25,610.1 BCE,349.5 BCE
Dassaretis,18,40,24.0,45,500.1 BCE,399.5 BCE
Daunians,12,40,18.0,45,800.1 BCE,323.9 BCE
Dayenu,40,35,45.0,40,,
Delian League,10,25,42.0,45,478.3 BCE,404.7 BCE
Delphi,20,35,25.0,40,,
Deng,110,30,115.0,35,771.7 BCE,678.5 BCE
Denmark,-90,50,16.0,85,1990 CE,present
Desert Cultures,-120,20,-95.0,45,2400.1 BCE,1 BCE
Di,105,30,120.0,40,770.7 BCE,407.5 BCE
Di(2),100,30,110.0,35,771.1 BCE,361.5 BCE
Diauekhi,36,35,48.0,45,931.1 BCE,591.5 BCE
Dilmun,45,20,55.0,30,2400.1 BCE,1550.1 BCE
Djibouti,40,10,45.0,15,1990 CE,present
Dolopia,20,35,25.0,40,695.5 BCE,339.1 BCE
Domain of Amphimakhos,35,30,50.0,40,319.5 BCE,316.7 BCE
Domain of Antigenes,45,25,55.0,35,319.5 BCE,316.7 BCE
Domain of Antigonus,20,25,75.0,45,318.7 BCE,306.3 BCE
Domain of Asandros,25,35,35.0,40,319.5 BCE,314.7 BCE
Domain of Cassander,15,35,35.0,45,319.5 BCE,305.5 BCE
Domain of Eudemus,70,25,80.0,35,319.5 BCE,316.5 BCE
Domain of Eumenes,40,25,65.0,40,317.1 BCE,315.8 BCE
Domain of Lysimakhos,18,40,30.0,50,313.5 BCE,305.5 BCE
Domain of Mithridates,30,35,40.0,45,301.3 BCE,281.3 BCE
Domain of Oxyartes,65,30,75.0,40,319.5 BCE,307.5 BCE
Domain of Peithon,40,30,65.0,40,319.5 BCE,316.6 BCE
Domain of Peithon (son of Agenor),65,20,75.0,35,319.5 BCE,316.5 BCE
Domain of Peukestas,45,25,60.0,35,319.5 BCE,315.8 BCE
Domain of Philip,50,30,65.0,40,319.5 BCE,318.4 BCE
Domain of Philoxenos,30,35,40.0,40,,
Domain of Polyperchon,20,35,30.0,40,316.6 BCE,314.7 BCE
Domain of Ptolemy,20,20,45.0,40,319.7 BCE,305.5 BCE
Domain of Seleucus,40,25,75.0,40,319.5 BCE,305.5 BCE
Domain of Sibyrtios,55,25,75.0,35,319.5 BCE,306.5 BCE
Domain of Stasandros,55,25,70.0,40,319.5 BCE,315.8 BCE
Domain of Stasanor,55,30,75.0,45,319.5 BCE,305.5 BCE
Domain of Tlepolemos,50,25,65.0,35,319.5 BCE,315.8 BCE
Dominica,-65,15,-60.0,20,1990 CE,present
Dominican Republic,-75,15,-65.0,20,1990 CE,present
Donghu,114,40,126.0,50,770.1 BCE,1 BCE
Dongyi Peoples,115,35,125.0,40,1500.1 BCE,1079.5 BCE
Dorians,10,30,35.0,45,1223.5 BCE,1 BCE
Doris,20,35,25.0,40,695.5 BCE,268.2 BCE
Dravidians,70,5,95.0,30,2400.1 BCE,1 BCE
Du,105,30,110.0,35,771.1 BCE,687.5 BCE
Duan,110,30,115.0,40,743.5 BCE,722.5 BCE
Duchy of Jin,105,30,120.0,45,678.1 BCE,349.5 BCE
Dun,110,30,120.0,35,770.1 BCE,496.5 BCE
Dvaraka,65,20,75.0,25,610.1 BCE,317.5 BCE
E,110,25,120.0,35,770.1 BCE,700.5 BCE
East African Peoples,35,0,55.0,15,2400.1 BCE,1 BCE
Eastern Guo,110,30,115.0,35,771.7 BCE,767.5 BCE
Eastern Woodland Peoples,-96,25,-48.0,55,2400.1 BCE,1 BCE
Ecuador,-95,-5,-75.0,5,1990 CE,present
Edomites,30,25,40.0,35,1280 BCE,526.5 BCE
Egypt,20,20,40.0,35,1990 CE,present
Egypt: (Herakleopolis),30,25,35.0,30,755.5 BCE,726.5 BCE
Egypt: (Hermopolis),30,25,35.0,30,755.5 BCE,726.5 BCE
Egypt: Areas of Unrest,25,20,35.0,35,1991.5 BCE,1990.3 BCE
Egypt: Heracleopolitans,25,20,35.0,35,2160.5 BCE,2159.5 BCE
Egypt: Hyksos,25,20,40.0,35,1720.5 BCE,1566.5 BCE
Egypt: Middle Kingdom,25,20,40.0,35,2002.7 BCE,1661.5 BCE
Egypt: New Kingdom,25,15,45.0,40,1567.5 BCE,1085.5 BCE
Egypt: Old Kdm,25,20,40.0,35,2400.1 BCE,9998 BCE
Egypt: Rebellion of Pedubast,30,20,35.0,30,829.5 BCE,828.5 BCE
Egypt: Revolt of Amasis,25,30,30.0,35,,
Egypt: Tanites,30,25,35.0,35,1085.5 BCE,945.4 BCE
Egypt: Thebans,25,20,35.0,35,1568.5 BCE,1567.5 BCE
Egypt: Thirtieth Dynasty,25,20,40.0,35,380.1 BCE,342.5 BCE
Egypt: Twenty Eighth Dynasty,25,20,35.0,35,402.5 BCE,399.2 BCE
Egypt: Twenty Fourth Dynasty,25,25,35.0,35,715.5 BCE,714.5 BCE
Egypt: Twenty Ninth Dynasty,25,20,35.0,35,399.2 BCE,380.1 BCE
Egypt: Twenty Second Dynasty,25,20,40.0,35,945.5 BCE,726.5 BCE
Egypt: Twenty Sixth Dynasty,20,15,40.0,40,651.5 BCE,525.5 BCE
Egypt: Twenty Sixth Dynasty Tributary,30,30,40.0,35,609.5 BCE,605.5 BCE
Egypt: Twenty Third Dynasty,30,20,35.0,30,880.5 BCE,755.5 BCE
El Paraiso Culture,-80,-15,-70.0,-5,2000.1 BCE,900.1 BCE
El Salvador,-95,10,-85.0,15,1990 CE,present
Elam,40,25,60.0,40,2348.5 BCE,539.2 BCE
Elamite Tributary,40,30,50.0,40,1769.5 BCE,708.5 BCE
Elimiotis,18,40,24.0,45,540.5 BCE,358.5 BCE
Elis,20,35,25.0,40,725.5 BCE,272.1 BCE
Ellipi,45,30,50.0,35,970.1 BCE,702.6 BCE
Elymians,10,35,15.0,40,1150.1 BCE,500.1 BCE
Enchele,18,40,24.0,45,650.1 BCE,500.1 BCE
Enzite,35,35,45.0,40,931.1 BCE,802.5 BCE
Eordaia,18,40,24.0,45,540.5 BCE,475.5 BCE
Epicnemidian Locris,18,35,25.0,45,695.5 BCE,1 BCE
Epidauria,20,35,25.0,40,780.5 BCE,670.5 BCE
Epirote Ally,10,35,24.0,45,292.5 BCE,275.1 CE
Equatorial Guinea,5,-5,15.0,5,1990 CE,present
Er,110,30,115.0,35,770.1 BCE,700.5 BCE
Eretria,20,35,30.0,40,710.5 BCE,294.2 BCE
Eriakhi,42,40,48.0,45,880.1 BCE,703.5 BCE
Erikuakhi,40,35,48.0,45,880.1 BCE,706.5 BCE
Eritrea,35,10,45.0,20,1990 CE,present
Erligang Culture,105,30,120.0,40,1600.1 BCE,1400.1 BCE
Erlitou Culture,105,30,120.0,40,1900.1 BCE,1600.1 BCE
Estonia,16,55,32.0,60,1990 CE,present
Ethiopia,30,0,50.0,15,1990 CE,present
Etiukhi,40,35,48.0,45,931.1 BCE,709.5 BCE
Etiuni,42,40,48.0,45,880.1 BCE,703.5 BCE
Etruria,6,35,20.0,50,760 BCE,266.5 BCE
Etruscans,6,40,18.0,50,1725.1 BCE,515.5 BCE
Euboea,20,35,25.0,40,348.4 BCE,309.5 BCE
Fan,115,30,120.0,35,770.1 BCE,504.5 BCE
Fan clan,110,35,115.0,40,500.1 BCE,491.4 BCE
Fan(2),110,35,115.0,40,770.1 BCE,660.5 BCE
Fang,110,30,115.0,35,770.1 BCE,637.5 BCE
Fei,110,35,120.0,40,770.1 BCE,530.5 BCE
Feng,105,30,110.0,35,771.1 BCE,550.5 BCE
Fiji,175,-25,185.0,-10,1990 CE,present
Finland,10,55,40.0,75,1990 CE,present
Finns,10,50,72.0,70,2400.1 BCE,1 BCE
France,-155,-55,185.0,55,1990 CE,present
Gabon,5,-5,15.0,5,1990 CE,present
Gambia,-20,10,-10.0,15,1990 CE,present
Gandhara,70,30,80.0,40,975.1 BCE,517.5 BCE
Gao,115,30,120.0,35,770.1 BCE,721.5 BCE
Gao clan,115,35,120.0,40,500.1 BCE,489.5 BCE
Gaoluo,110,35,115.0,40,770.1 BCE,660.5 BCE
Garamantes,10,25,30.0,30,500.1 BCE,1 BCE
Ge,115,30,120.0,35,1750.1 BCE,593.5 BCE
Gedrosia,55,25,70.0,35,329.5 BCE,325.1 BCE
Gela,10,35,20.0,40,505.5 BCE,405.1 BCE
Geng,110,35,115.0,40,770.1 BCE,661.5 BCE
Genmou,115,35,120.0,40,770.1 BCE,600.5 BCE
Georgia,36,40,48.0,45,1990 CE,present
Germany,0,45,18.0,60,1990 CE,present
Geshur,35,30,40.0,35,1151.5 BCE,988.5 BCE
Getae,24,40,30.0,50,469.5 BCE,1 BCE
Ghana,-5,0,5.0,15,1990 CE,present
Gilead,35,30,40.0,35,1151.5 BCE,740.5 BCE
Gilzanu,40,35,45.0,40,863.5 BCE,724.5 BCE
Gojoseon,120,35,126.0,45,770.1 BCE,280.5 BCE
Gong,105,25,115.0,40,770.1 BCE,280.5 BCE
Gong(2),105,25,110.0,30,770.1 BCE,670.5 BCE
Great Chiefs of the Meshwesh,30,30,35.0,35,745.5 BCE,726.5 BCE
Greece,15,30,30.0,45,1990 CE,present
Greek Alliance,18,30,35.0,45,480.9 BCE,478.3 BCE
Greek mercenaries,25,30,40.0,40,,
Greeks,24,30,48.0,45,630.5 BCE,401.7 BCE
Grenada,-65,10,-60.0,15,1990 CE,present
Gu,110,30,120.0,40,1750.1 BCE,700.5 BCE
Gu(2),115,35,120.0,40,770.1 BCE,520.5 BCE
Guang,110,30,120.0,35,770.1 BCE,650.5 BCE
Guatemala,-95,10,-85.0,20,1990 CE,present
Gui,105,30,110.0,35,771.1 BCE,688.5 BCE
Guifang,95,30,115.0,45,1400.1 BCE,1 BCE
Guinea,-20,5,-5.0,15,1990 CE,present
Guinea Bissau,-20,10,-10.0,15,1990 CE,present
Guo,115,35,120.0,40,770.1 BCE,670.5 BCE
Guo clan,115,35,120.0,40,500.1 BCE,489.5 BCE
Gurgum,35,35,40.0,40,1190.5 BCE,604.7 BCE
Guti,40,30,55.0,40,2348.5 BCE,2119.6 BCE
Guti Tributary,40,30,55.0,35,2193.4 BCE,2119.6 BCE
Guyana,-65,0,-55.0,10,1990 CE,present
Guzanu,35,35,45.0,40,809.5 BCE,758.5 BCE
Guzhu,114,35,120.0,45,770.1 BCE,662.5 BCE
Haihayas,70,20,80.0,25,610.1 BCE,549.5 BCE
Haiti,-75,15,-70.0,25,1990 CE,present
Haliartos,20,35,25.0,40,386.5 BCE,378.8 BCE
Hamaranu,40,30,50.0,35,811.5 BCE,745.5 BCE
Han,115,30,120.0,35,770.1 BCE,615.5 BCE
Han(2),110,35,115.0,40,770.1 BCE,757.5 BCE
Hann,110,30,120.0,40,453.4 BCE,1 BCE
Hann clan,110,30,115.0,40,500.1 BCE,453.4 BCE
Hapalla,30,35,35.0,40,1395.5 BCE,1385.6 BCE
Harhar,40,30,50.0,35,970.1 BCE,737.2 BCE
Harshi,40,30,50.0,40,1985.5 BCE,1600.5 BCE
Hattians,30,35,40.0,45,2199.4 BCE,1861.7 BCE
Hellenic League,20,35,30.0,45,323.2 BCE,322.1 BCE
Helmand and Jiroft Cultures,55,25,70.0,35,2400.1 BCE,1750.5 BCE
Helot Revolt,20,35,25.0,40,465.6 BCE,456.7 BCE
Heraklea Pontica,30,40,36.0,45,274.5 BCE,1 BCE
Hermionis,20,35,25.0,40,780.5 BCE,670.5 BCE
Hernici,12,40,18.0,45,600.1 BCE,358.6 BCE
Hilakku,30,35,35.0,40,836.5 BCE,635.5 BCE
Himera,10,35,20.0,40,472.5 BCE,409.4 BCE
Hindanu,35,30,45.0,40,1120.5 BCE,612.4 BCE
Hittites,24,35,42.0,45,2050.5 BCE,1180.5 BCE
Honduras,-90,10,-80.0,20,1990 CE,present
Hu,115,30,120.0,35,770.1 BCE,495.5 BCE
Hu(2),110,30,115.0,35,770.1 BCE,763.5 BCE
Hu(3),110,30,115.0,35,770.1 BCE,763.5 BCE
Hua,110,30,115.0,35,770.1 BCE,627.4 BCE
Huaiyi,115,30,125.0,40,770.1 BCE,512.5 BCE
Huaiyi Peoples,110,30,125.0,35,1500.1 BCE,584.5 BCE
Huang,110,30,120.0,35,770.1 BCE,648.5 BCE
Hubushkia,40,35,45.0,40,863.5 BCE,698.5 BCE
Hungary,12,45,24.0,50,1990 CE,present
Huo,110,35,115.0,40,770.1 BCE,661.5 BCE
Hupis(h)na,30,35,35.0,40,826.8 BCE,738.5 BCE
Hurrian Kingdom,35,35,45.0,40,1615.5 BCE,1346.4 BCE
Hurrian Kingdoms,35,35,50.0,40,2217.9 BCE,1825.5 BCE
Hurrians,35,30,50.0,40,2400.1 BCE,863.5 BCE
Iapygii,12,40,18.0,45,500.1 BCE,318.5 BCE
Iberians,-12,35,48.0,50,1725.1 BCE,1 BCE
Iceland,-36,60,-10.0,70,1990 CE,present
Idamaraz,40,30,45.0,40,1741.5 BCE,1615.5 BCE
Ikshvakus,80,25,85.0,30,364.5 BCE,361.5 BCE
Illyrian Kingdom,18,40,24.0,45,279.1 BCE,1 BCE
Illyrian Tributary,18,40,24.0,45,372.5 BCE,370.5 BCE
